K쇼핑_AS_S5513,그런데 지금 너무 화가 나네요,불만,nan
K쇼핑_AS_S5513,아쿠아 청소기에서 걸레 꽂는 부분이요,불만,nan
K쇼핑_AS_S5513,청소가 제대로 안되는 거 같아서 청소기 아래를 다 분해해 봤거든요,불만,nan
K쇼핑_AS_S5513,그런데 진공 흡입이 안 돼요 물 청소는 며칠째 안 하고 그냥 진공 청소기로만 사용하고 있는데요 청소가 잘 안되어서 아래를 분해해서 보니까 빨아들이는 부분이 망가졌더라고요,불만,nan
K쇼핑_AS_S5513,이건 청소할 때 두 가지 겸용으로 사용할 수 있는 거잖아요 그런데 청소기가 쓰레기를 빨아들이지 못하고 아래로 뚝뚝 떨어지는 거예요,불만,nan
K쇼핑_AS_S5513,이게 워낙 흡입도 안되고 해서 전에도 똑같이 이야기했는데 아무런 답변이 없어요 결론은 전화 수수료만 쓴 셈이네요,불만,nan
K쇼핑_AS_S5513,그래서 진공청소기로만 써야 되겠다고 했는데 쓰레기를 빨아들이지도 않아서 지금 아래를 분해해 본 건데요 너무 화가 나서 사진이라도 찍어놔야 되나 싶네요,불만,nan
K쇼핑_AS_S5513,여태까지 청소한 먼지가 먼지통에 안 들어가고 거기에 다 걸려있는 거예요,불만,nan
K쇼핑_AS_S5513,도대체 어떻게 청소를 하란 말인지 내 머리로는 도저히 이해가 안 가서 그 공장에다가 물어보려고 해요 이런 제품을 어떻게 팔아먹어요,불만,nan
K쇼핑_AS_S5513,내가 너무 화가 나는 거예요,불만,nan
K쇼핑_AS_S5513,그런데 아무런 연락이 없어요 결론은 그냥 쓰라는 거예요,불만,nan
K쇼핑_AS_S5513,이게 물로도 청소할 수 있는 청소기인데 그 오수 나오는 통은 청소를 해요 문제는 그게 아니고 흡입이 안되어서 아래를 분해해 봤는데 진공 흡입이 안 되고 있다는 거예요,불만,nan
K쇼핑_AS_S5513,지금 사진을 찍어놨어요 이거 너무 불편해서 두 가지 겸용으로 쓸 수가 없어요 그래서 이거 진공청소기로만 쓰고 버려야 되겠다는 생각을 하고 포기를 하려고 했는데 쓰레기 흡입도 안 되잖아요,불만,nan
K쇼핑_AS_S5513,통을 어떻게 매일 뜯어서 청소하나요 오수통은 매일 비워줘야 된다고 하고 그나저나 지금 오수통과 물통 이야기를 하자는 게 아니에요,불만,nan
K쇼핑_AS_S5513,그러니까 그거는 여러 번 말려서 쓰는데요 그렇게 하는데 문제는 진공 흡입이 들어가는 입구에서 쓰레기가 걸린다는 이야기예요,불만,nan
K쇼핑_AS_S5513,청소할 때 두 가지 안 쓰려고 청소할 때 편하자고 이 물건을 산 거지 추가로 쓰기 위해 산 게 아니잖아요 그럼 뭣하러 이거 써요 다른 상품 버리고 이거 왜 쓰겠어요,불만,nan
